iter	Passed	Remaining
0	171	171788
1	174	87028
2	176	58586
3	178	44331
4	179	35784
5	182	30153
6	184	26184
7	186	23114
8	188	20721
9	190	18906
10	192	17335
11	194	16054
12	196	14930
13	198	13977
14	200	13156
15	202	12429
16	204	11804
17	205	11229
18	207	10717
19	209	10261
20	211	9870
21	213	9493
22	215	9142
23	217	8831
24	219	8545
25	221	8281
26	222	8032
27	224	7808
28	226	7590
29	228	7391
30	230	7212
31	233	7066
32	235	6899
33	237	6740
34	239	6597
35	241	6463
36	243	6331
37	245	6208
38	246	6083
39	248	5964
40	250	5853
41	252	5749
42	254	5653
43	255	5553
44	257	5460
45	259	5377
46	261	5296
47	262	5215
48	264	5136
49	266	5061
50	268	4994
51	270	4926
52	272	4860
53	274	4802
54	275	4738
55	277	4677
56	279	4620
57	281	4567
58	283	4520
59	285	4467
60	286	4414
61	288	4366
62	290	4318
63	292	4272
64	293	4229
65	295	4184
66	297	4143
67	299	4102
68	300	4061
69	302	4024
70	304	3985
71	306	3947
72	308	3912
73	309	3876
74	311	3843
75	313	3812
76	315	3783
77	317	3752
78	319	3720
79	320	3689
80	322	3659
81	324	3630
82	326	3603
83	327	3574
84	329	3547
85	331	3521
86	333	3498
87	335	3473
88	336	3448
89	338	3422
90	340	3398
91	342	3381
92	344	3358
93	346	3336
94	347	3314
95	349	3292
96	351	3270
97	353	3249
98	354	3230
99	356	3210
100	358	3191
101	360	3173
102	362	3154
103	363	3135
104	365	3117
105	367	3100
106	369	3081
107	370	3064
108	372	3048
109	374	3033
110	376	3017
111	378	3000
112	380	2985
113	382	2970
114	384	2955
115	386	2941
116	387	2926
117	390	2918
118	393	2909
119	395	2897
120	397	2885
121	399	2873
122	401	2860
123	403	2849
124	405	2837
125	407	2823
126	408	2811
127	410	2798
128	412	2786
129	414	2775
130	416	2764
131	418	2754
132	420	2743
133	422	2731
134	425	2723
135	426	2711
136	428	2699
137	430	2689
138	432	2678
139	434	2669
140	436	2662
141	438	2649
142	440	2639
143	442	2629
144	444	2618
145	445	2607
146	448	2600
147	450	2591
148	452	2582
149	453	2571
150	455	2561
151	457	2551
152	459	2542
153	461	2535
154	463	2525
155	465	2516
156	467	2507
157	469	2499
158	470	2490
159	472	2481
160	475	2477
161	478	2474
162	481	2472
163	484	2467
164	487	2466
165	489	2461
166	492	2455
167	494	2448
168	496	2442
169	498	2434
170	500	2428
171	503	2421
172	505	2415
173	507	2407
174	509	2400
175	511	2392
176	513	2385
177	514	2377
178	516	2370
179	518	2362
180	520	2354
181	522	2348
182	524	2341
183	527	2337
184	529	2330
185	531	2324
186	533	2318
187	535	2311
188	536	2303
189	538	2296
190	540	2291
191	543	2285
192	545	2279
193	546	2272
194	548	2265
195	550	2258
196	552	2251
197	554	2245
198	556	2240
199	558	2233
200	560	2227
201	561	2219
202	563	2212
203	565	2205
204	566	2198
205	568	2192
206	570	2186
207	572	2180
208	574	2174
209	576	2168
210	578	2162
211	579	2155
212	581	2148
213	583	2142
214	584	2135
215	586	2128
216	588	2123
217	590	2117
218	592	2111
219	593	2104
220	595	2098
221	597	2092
222	598	2086
223	600	2080
224	602	2075
225	604	2070
226	606	2065
227	608	2059
228	610	2054
229	611	2048
230	614	2045
231	616	2039
232	618	2036
233	620	2031
234	622	2027
235	624	2022
236	626	2017
237	628	2013
238	630	2008
239	632	2004
240	634	1998
241	636	1993
242	639	1991
243	641	1987
244	643	1984
245	646	1981
